adliye	courthouse	noun
adlı	called	adj
adlı	named	adj
adres	address	noun
adım	pace	noun
adım	step	noun	adım atmak: to take a step
af	amnesty, forgiveness	noun
afalli	aphallia	noun
aferin	well done	phrase
afet	disaster, catastrophe	noun
affetmek	to excuse	verb	Affedersiniz! Excuse me! Sorry!
affetmek	to forgive	verb
affını rica etmek	to apologise [Br.]	verb
afiş	poster	noun
afyon	opium	noun
agnozi	agnosia	noun
agresif	aggressive	adj
ahali	people, inhabitants	noun
ahbap	buddy	noun
ahbapça	friendly	adj
ahenk	harmony	noun
ahiret	afterlife	noun
ahkam	stupid	adj
ahlak	morality	noun
ahlak	morals, morality	noun
ahlaki	ethical, moral	adj
ahmak	idiotic	adj
ahtapot	octopus	noun
ahududu	raspberry	noun
ahır	barn	noun
ahır	stable	noun
ahşap	wooden	noun
aidiyet	belonging	noun
aile	family	noun
ait	belonging to	posp
ajan	secret agent, spy	noun
ajans	agency	noun
ak kumkuşu	sanderling	noun
ak kuyruklu kız kuşu	white-tailed lapwing	noun
ak yanaklı kaz	barnacle goose	noun
ak	white	adj
akademi	academy	noun
akademik	academic	adj
akademisyen	academician	noun
akarsu	stream, river	noun
akaryakıt	fuel	noun
akaryakıt	liquid fuel	noun	akaryakıt istasyonu: gas station
akciğer	lung [Pulmo]	noun
akciğer	lung	noun
akis	echo, reflection	noun
aklamak	to clear	verb
akmak	to flow	verb
akondroplazi	achondroplasia	noun
akraba	relative	noun
akrep	scorpion	noun
akrobat	acrobat	noun
akromegali	acromegaly	noun
aksaklık	malfunction	noun
aksamak	to hamper, to hinder	verb
aksi	irritable; opposite	adj
aksi	opposite	adj	aksi halde / aksi takdirde: otherwise
aksine	on the contrary, unlike	adv
aksiyon	action	noun
aksırmak	to sneeze	verb
aktarmak	to tell	verb
aktarmak	to transfer	verb
aktarmakmak	to transfer; to carry over	verb
aktarım	transfer, transposition	noun
aktif	active; effective	adj
aktivite	activity	noun
aktör	actor	noun
akuzatif	accusative	noun
akçe	money, coin	noun
akıl	mind [intellect]	noun
akıl	mind, reason; wisdom	noun
akılcı	rational	adj
akıllanmak	to become wise	verb
akıllı	bright	adj
akıllı	clever	adj
akıllı	intelligent	adj
akıllı	wise, intelligent	adj
akım	current; trend	noun
akım	flow	noun	ana akım: mainstream	doğru akım: direct current (DC)
akıntı	current, flow	noun
akıtmak	to pour	verb
akış	flow, passing	noun
akşam yemeği	dinner	noun
akşam	evening	noun
akşam	in the evening	adv
akşamleyin	in the evening	adv
akşamüstü	evening	noun
alabalık	trout [a number of species of freshwater fish belonging to the Salmoninae subfamily]	noun
alaca örümcek kuşu	masked shrike	noun
alaca	multicolored	adj
alacak	debt, credit	noun
alacakaranlık	twilight	noun
alaka	interest, concern	noun
alakalı	related, concerned	adj
alakalı	relevant	adj
alan	area	noun
alan	field, open place	noun
alarm	alarm	noun
alay etmek	to twit	verb
alay	regiment; mocking	noun
alaycı	mocking	noun
albinizm	albinism	noun
albüm	album	noun
aldanmak	to be deceived	verb
aldatmak	to cheat	verb
aldatıcı	dishonest	adj
alem	universe; entertainment	noun
alet	machine	noun
alet	tool	noun
alet	tool, instrument, device	noun
alev	flame	noun	alev almak: to burn [be on fire] / to burst into flame
alevlenmek	to blaze [burn brightly]	verb
alevlenmek	to flame [burn]	verb
aleyh	against	noun
alfabe	alphabet	noun
algoloji	algology	noun
algı	perception	noun
algılamak	to perceive, to realize	verb
alim	scholar	noun
alkol	alcohol	noun
alkollü	drunk, alcoholic	adj
alkım	rainbow	noun
alkış	applause	noun
alkışlamak	to applaud	verb
almak	to buy	verb
almak	to get	verb
almak	to receive	verb
almak	to take	verb
almak	to take, to get	verb
alo	halloo, hello	noun
alt	below	adv
alt	bottom, ground	noun
alternatif	alternative	adj
altmış altı	sixty-six	noun
altmış beş	sixty-five	noun
altmış bir	sixty-one	noun
altmış dokuz	sixty-nine	noun
altmış dört	sixty-four	noun
altmış iki	sixty-two	noun
altmış sekiz	sixty-eight	noun
altmış yedi	sixty-seven	noun
altmış üç	sixty-three	noun
altmış	sixty	noun
altsınıf	subclass	noun
altyapı	infrastructure	noun
altüst	upside down	adj
altı yüz	six hundred	noun
altı	six	noun
altın	gold	noun
altın	golden	adj
altına	among	prep
altına	under	prep
altıncı	sixth	noun
altında	below	adv
altında	under	prep
altından	golden	adj
aluminyum folyo	kitchenfoil [spv.] [rare]	noun
alyan anahtarı	allen key	noun
alyan	allen key	noun
alçak	low	adj
alçak	sordid	adj
alçakgönüllü	humble	adj
alçakgönüllü	modest	adj
alçalmak	to go down	verb
alıkoymak	to withhold, to detain, to keep	verb
alım	buying, purchase	noun
alın	forehead	noun
alınmak	to be taken	verb
alıntı	quotation	noun
alışkanlık	habit	noun
alışma	adaptation	noun
alışmak	to get used to	verb
alışveriş arabası	cart [Am.]	noun
alışveriş yapmak	to purchase	verb
alışveriş	shopping	noun
