koyu mavi	dark blue	adj
koyungözü [Bellis perennis]	daisy	noun
kraliyet düğünü	royal wedding	noun
kuantum kimyası	quantum chemistry	noun
kum fırtınası	sandstorm	noun
kumar oynamak	to gamble	verb
kurt [Canis lupus]	wolf	noun
kuru temizleme	dry cleaner's	noun
kutup ayısı [Ursus maritimus]	polar bear	noun
kuyruklu yıldız	comet	noun
kuyruklu yıldız	shooting star	noun
kuyrukta beklemek	to line up	verb
kuzguni siyah	jet-black	adj
kuzu eti	lamb	noun
kuşkusuz ki	indeed	adv
kötü niyetle	falsely	adv
kötü niyetle	maliciously	adv
kötü niyetle	wickedly	adv
kötü niyetle	wrongly	adv
kötü yönde	negatively [adversely]	adv
kötü şekilde	negatively [adversely]	adv
kül tabla	ashtray	noun
kül tablası	ashtray	noun
kütleçekimsel çökme	gravitational collapse	noun
küçük düşürmek	to humiliate	verb
küçük halı	rug	noun
küçük kerkenez [Falco naumanni]	lesser kestrel	noun
küçük kiraz kuşu [Emberiza pusilla]	little bunting	noun
kır incir kuşu	tawny pipit	noun
kırmızı turp	radishes {pl}	noun
kırçıl marmot	hoary marmot	noun
kısa pantolon	shorts	noun
kıskanç olmak	to be jealous	verb
kız arkadaş	girlfriend	noun
kız evlat	daughter	noun
kız kardeş	sister	noun
kız torun	granddaughter	noun
kız yeğen	niece	noun
kızıl ardıç kuşu	redwing [thrush]	noun
kızıl boyunlu batağan	red-necked grebe	noun
kızıl enseli doğan	Barbary falcon	noun
kızıl gerdanlı dalgıç	red-throated diver [Br.]	noun
kızıl kum kuşu	curlew sandpiper	noun
lenfatik sistem	lymph system	noun
lenfatik sistem	lymphatic system	noun
leopar [Panthera pardus]	leopard	noun
lityum florür [LiF]	lithium fluoride	noun
lityum hidroksit [LiOH]	lithium hydroxide	noun
maden suyu	mineral water	noun
madeni para	coin	noun
mahalli saat	local time	noun
mahmuzlu çinte [Calcarius lapponicus]	Lapland bunting	noun
mahmuzlu çinte [Calcarius lapponicus]	Lapland longspur	noun
mahrum bırakmak	forego	verb
maikong [Cerdocyon thous]	common fox	noun
mavi baştankara [Cyanistes caeruleus, Parus caeruleus]	(Eurasian) blue tit	noun
mazeret [osm.]	excuse	noun
mazur görmek	to forgive	verb
mecbur olmak	to have to	verb
medya tarihi	media history	noun
memişhane [osm.]	restroom [Am.]	noun
memnun etmek	to please	verb
merak etmek	to wonder	verb
merak etmek	to worry	verb
merakta kalmak	to worry	verb
mercan resifi	coral reef	noun
mevcut olma	availability	noun
meydana gelmek	to happen	verb
meydana getirmek	to create	verb
meyve salatası	fruit salad	noun
moloz yığını	rubble	noun
mors [Odobenus rosmarus]	walrus	noun
